City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Kalemie,CD,-5.9475,29.1947,77.54,48,88,13.91,overcast clouds
203,Bahia Blanca,AR,-38.7196,-62.2724,46.49,87,60,10.02,broken clouds
204,Hithadhoo,MV,-0.6,73.0833,83.14,73,70,10.09,broken clouds
205,Yarega,RU,63.4354,53.5765,74.7,45,45,2.57,scattered clouds
206,Dolzhanskaya,RU,46.6311,37.8039,77.92,61,7,11.03,clear sky
207,San Luis,AR,-33.295,-66.3356,42.67,69,5,3.0,clear sky
208,Nome,US,64.5011,-165.4064,57.16,80,100,2.06,overcast clouds
209,Georgetown,MY,5.4112,100.3354,89.89,62,20,6.91,few clouds
210,Sorong,ID,-0.8833,131.25,81.95,72,89,2.86,light rain
211,San Patricio,US,28.017,-97.5169,84.83,89,100,1.81,overcast clouds
212,Casablanca,MA,33.5928,-7.6192,71.82,60,40,1.99,scattered clouds
213,Hambantota,LK,6.1241,81.1185,91.74,66,40,16.11,scattered clouds
214,Quatre Cocos,MU,-20.2078,57.7625,76.08,57,61,11.88,broken clouds
215,Fort Nelson,CA,58.8053,-122.7002,57.36,83,96,3.76,overcast clouds
216,Qui Nhon,VN,13.7667,109.2333,87.71,69,34,14.76,scattered clouds
217,Sao Lourenco,BR,-22.1164,-45.0544,53.38,71,76,1.52,broken clouds
218,Bethel,US,41.3712,-73.414,71.92,93,100,4.99,overcast clouds
219,Wenatchee,US,47.4235,-120.3103,72.52,46,5,7.0,clear sky
220,Ust-Ishim,RU,57.6935,71.1665,65.03,34,63,8.21,broken clouds
221,Iskateley,RU,67.6803,53.1512,62.65,48,68,9.91,broken clouds
222,Karratha,AU,-20.7377,116.8463,71.13,28,37,5.17,scattered clouds
223,Narsaq,GL,60.9167,-46.05,50.22,59,100,0.43,overcast clouds
224,Sitka,US,57.0531,-135.33,49.89,87,90,4.61,overcast clouds
225,Dudinka,RU,69.4058,86.1778,41.23,87,100,25.23,light rain
226,Port Blair,IN,11.6667,92.75,84.83,74,78,17.52,broken clouds
227,Christchurch,NZ,-43.5333,172.6333,46.0,90,75,3.44,broken clouds
228,Celestun,MX,20.8667,-90.4,79.63,84,73,14.09,broken clouds
229,Odweyne,SO,9.4092,45.064,84.07,39,54,24.52,broken clouds
230,Nyurba,RU,63.2842,118.3319,87.93,31,48,2.19,scattered clouds
231,Tiksi,RU,71.6872,128.8694,59.05,49,7,3.4,clear sky
232,Salinopolis,BR,-0.6136,-47.3561,78.03,83,7,8.93,clear sky
233,Viedma,AR,-40.8135,-62.9967,45.93,77,99,9.33,overcast clouds
234,Leningradskiy,RU,69.3833,178.4167,42.49,72,100,7.02,overcast clouds
235,Yining,CN,29.0361,114.5636,87.84,53,2,5.39,clear sky
236,Wanning,CN,18.8003,110.3967,88.23,73,100,10.04,overcast clouds
237,Arraial Do Cabo,BR,-22.9661,-42.0278,67.17,83,36,11.01,scattered clouds
238,Lompoc,US,34.6391,-120.4579,61.09,80,90,1.01,mist
239,Bukama,CD,-9.2,25.85,85.26,27,37,2.57,scattered clouds
240,Qaqortoq,GL,60.7167,-46.0333,50.5,89,100,2.37,overcast clouds
241,Kutum,SD,14.2,24.6667,89.85,21,69,2.82,broken clouds
242,Vardo,NO,70.3705,31.1107,59.2,91,100,1.7,overcast clouds
243,Srednekolymsk,RU,67.45,153.6833,70.92,37,72,4.83,broken clouds
244,Cabinda,AO,-5.55,12.2,78.64,70,93,4.56,overcast clouds
245,Mount Gambier,AU,-37.8333,140.7667,52.88,69,100,10.96,overcast clouds
246,Sambava,MG,-14.2667,50.1667,75.29,59,94,12.82,overcast clouds
247,Samoded,RU,63.6083,40.5111,90.05,33,0,9.4,clear sky
248,Owando,CG,-0.4819,15.8999,73.62,89,100,4.41,light rain
249,Clyde River,CA,70.4692,-68.5914,30.43,100,90,16.11,overcast clouds
250,Riverton,US,40.5219,-111.9391,75.34,32,1,1.99,clear sky
251,Dumai,ID,1.6833,101.45,89.62,55,51,2.89,broken clouds
252,Tadine,NC,-21.55,167.8833,70.2,72,100,11.72,overcast clouds
253,Katsuura,JP,35.1333,140.3,76.19,77,40,10.67,scattered clouds
254,Praya,CV,14.9215,-23.5087,73.94,73,40,17.27,scattered clouds
255,Lufilufi,WS,-13.8745,-171.5986,76.78,78,66,13.09,light rain
256,Cabrobo,BR,-8.5142,-39.31,67.87,96,6,6.96,clear sky
257,Hoi An,VN,15.8794,108.335,94.96,63,96,13.42,overcast clouds
258,Kamalasai,TH,16.3384,103.5756,97.12,47,100,7.58,overcast clouds
259,Alyangula,AU,-13.8483,136.4192,76.06,81,24,12.24,few clouds
260,Matelica,IT,43.2541,13.0106,86.79,57,4,5.35,clear sky
261,Marzuq,YE,14.4,46.4667,94.01,20,1,5.55,clear sky
262,Rawson,AR,-43.3002,-65.1023,44.49,62,100,5.91,overcast clouds
263,Lavrentiya,RU,65.5833,-171.0,45.23,76,100,2.98,overcast clouds
264,Stepnyak,KZ,52.8339,70.7803,60.08,47,74,11.14,broken clouds
265,Ostrovnoy,RU,68.0531,39.5131,68.05,65,78,16.64,broken clouds
266,Teya,RU,60.3778,92.6267,63.61,50,82,6.44,broken clouds
267,Bokoro,TD,12.3807,17.0568,91.99,35,98,7.23,overcast clouds
268,Bubaque,GW,11.2833,-15.8333,78.98,77,100,5.55,overcast clouds
269,Toledo,ES,39.8333,-4.0,69.08,45,5,5.23,clear sky
270,West Plains,US,36.7281,-91.8524,54.55,92,1,0.0,clear sky
271,Madarounfa,NE,13.3087,7.156,86.59,47,74,6.22,broken clouds
272,Upata,VE,8.0086,-62.3989,72.19,96,100,2.44,overcast clouds
273,Parrita,CR,9.5201,-84.3225,74.52,89,95,1.52,overcast clouds
274,Axim,GH,4.8699,-2.2405,79.5,78,100,7.23,light rain
275,Marsh Harbour,BS,26.5412,-77.0636,80.76,83,100,9.17,overcast clouds
276,Grand Gaube,MU,-20.0064,57.6608,76.37,49,79,10.0,broken clouds
277,Opuwo,NA,-18.0607,13.84,68.4,27,0,15.82,clear sky
278,Paracatu,BR,-17.2222,-46.8747,60.35,63,12,1.43,few clouds
279,Sao Joao Da Barra,BR,-21.6403,-41.0511,62.76,91,28,8.28,scattered clouds
280,Sangar,RU,63.9242,127.4739,76.8,52,26,7.74,light rain
