City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Bairiki,KI,83.19,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
349,Shache,CN,89.46,clear sky,38.4167,77.2406,Delong Hotel
350,Dori,BF,87.8,scattered clouds,14.0354,-0.0345,Hôtel Liptako
353,Birao,CF,93.74,overcast clouds,10.2849,22.7882,
354,Mus,TR,84.15,clear sky,39.0,41.75,
358,Bandarbeyla,SO,88.41,clear sky,9.4942,50.8122,JABIR HOTEL
359,Dharchula,IN,85.59,scattered clouds,29.85,80.5333,Mahara Hotel
363,Ambilobe,MG,84.61,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
364,Wana,PK,89.49,clear sky,32.2989,69.5725,Rest House at Wana Camp
366,San Pedro,PH,88.11,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
370,Mahibadhoo,MV,83.48,overcast clouds,3.7833,72.9667,Omadhoo Inn
373,Binalbagan,PH,82.94,overcast clouds,10.1948,122.8581,AZ Cil' s Inn & Resort
376,Kochubey,RU,93.56,clear sky,44.3861,46.5825,Придорожный комплекс EUROPA
384,Lasem,ID,84.06,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
391,Lorengau,PG,82.17,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
392,Kirillov,RU,89.53,overcast clouds,59.863,38.3813,Korona
393,Chabahar,IR,87.55,clear sky,25.2919,60.643,هتل گدروشیا
394,Baraki Barak,AF,81.54,clear sky,33.9675,68.9486,
403,San Javier,ES,82.38,clear sky,37.8063,-0.8374,Hotel Mar Menor
412,Namatanai,PG,80.91,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
413,Chalus,IR,86.45,clear sky,36.655,51.4204,نظام مهندسي ساختمان چالوس
416,Liaozhong,CN,82.4,broken clouds,41.5061,122.7242,Bishuiwan Hotel
420,Aden,YE,88.27,clear sky,12.7794,45.0367,Sama Emirate Hotel
421,Namuac,PH,87.55,overcast clouds,18.6109,121.1657,Mlin Hotel
424,Baiyin,CN,87.53,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
434,Kamenka,RU,86.72,clear sky,51.3223,42.7678,
435,Moussoro,TD,93.99,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
448,Filingue,NE,87.37,scattered clouds,14.3521,3.3168,
451,Porto Torres,IT,82.09,clear sky,40.835,8.3972,Hotel Elisa
462,Norrtalje,SE,83.28,broken clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
465,Durusu,TR,82.38,few clouds,41.3053,28.6767,Çınar Pansiyon
468,Chengde,CN,86.47,scattered clouds,40.9725,117.9361,Super 8 Hotel
470,Salihorsk,BY,83.01,few clouds,52.7876,27.5415,Apartment on Parkovoy 26
479,Diu,IN,89.94,broken clouds,20.7141,70.9822,Hotel Relax Inn
482,Palauig,PH,80.24,light rain,15.435,119.9045,Myhousebythesea
490,Ypsonas,CY,81.36,few clouds,34.6884,32.9574,Club Aphrodite
496,Tessalit,ML,93.51,clear sky,20.1986,1.0114,
503,Davila,PH,84.15,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
504,Labuhan,ID,83.95,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
512,Waingapu,ID,80.82,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
519,Marsa Matruh,EG,82.58,clear sky,31.3525,27.2453,Beau Site
522,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
523,Saint-Louis,SN,85.17,overcast clouds,16.3333,-15.0,
524,Korla,CN,89.31,broken clouds,41.7597,86.1469,Gulisitan Hotel
528,Weligama,LK,83.68,overcast clouds,5.9667,80.4167,Weligama Bay Resort
540,Tual,ID,81.93,few clouds,-5.6667,132.75,Grand Vilia Hotel
548,Karatau,KZ,80.28,clear sky,43.1667,70.4667,Gor.bol'nitsa
553,Kentau,KZ,83.46,clear sky,43.5206,68.5094,Homestay Betty's B&B
556,Pemangkat,ID,84.29,overcast clouds,1.1667,108.9667,Ramah Kost KITA
557,Buluang,PH,84.69,overcast clouds,13.3068,123.3425,Enon Beach Resort
558,Yarada,IN,93.52,haze,17.65,83.2667,Jeevan
562,Libohove,AL,88.68,few clouds,40.0311,20.2631,Bar Cafe Hotel OREKLE
574,Fort-Shevchenko,KZ,91.18,scattered clouds,44.5086,50.263,Oasis hotel Bautino
579,Alice Town,BS,82.87,broken clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
583,Wajid,SO,87.24,clear sky,3.8093,43.2471,xamdihotelresturant114
588,Ternate,ID,81.45,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
591,Birjand,IR,88.09,clear sky,32.8663,59.2211,Birjand Tourist Hotel
592,Kupang,ID,82.98,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
598,Cartagena,CO,81.55,overcast clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
600,Namestovo,SK,81.43,few clouds,49.4079,19.4803,Trend Hotel
601,Umm Lajj,SA,91.85,clear sky,25.0213,37.2685,Moon light Furnished Units
602,Aitape,PG,80.31,broken clouds,-3.1374,142.3475,
604,Akhisar,TR,84.69,clear sky,38.9185,27.8401,Seybils Otel
605,Magdalena,PH,88.41,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
610,Bintulu,MY,85.01,overcast clouds,3.1667,113.0333,900 Boutique INN
617,Lensk,RU,80.19,scattered clouds,60.7253,114.9278,ТинОрС
618,Gambela,ET,90.36,few clouds,8.25,34.5833,Solomon Debebe Hotel
